facility_name,district,level,latitude,longitude
Kacheri Health Centre III,Kotido,HC II,,
Kamoru Health Centre II,Kotido,HC II,,
Kanawat Health Centre III,Kotido,HC II,,
KDDO Health Centre III,Kotido,HC II,,
Kotido Health Centre IV,Kotido,HC IV,,
Kotido Police Health Centre II,Kotido,HC II,,
Kotido Prisons Health Centre II,Kotido,HC II,,
Lokiding Health Centre II,Kotido,HC II,,
Lokitelaebu Health Centre III,Kotido,HC II,,
Lookorok Health Centre II,Kotido,HC II,,
Lopuyo Health Centre II,Kotido,HC II,,
Losakucha Health Centre II,Kotido,HC II,,
Losilang Health Centre II,Kotido,HC II,,
Nakapelimoru Health Centre III,Kotido,HC II,,
Nakwakwa Health Centre II,Kotido,HC II,,
Napumpum Health Centre III,Kotido,HC II,,
Panyangara Health Centre III,Kotido,HC II,,
Rengen Health Centre III,Kotido,HC II,,
Rikitae Health Centre II,Kotido,HC II,,
Agaria Health Centre II,Kumi,HC II,,
Agurut Health Centre II,Kumi,HC II,,
Akide Health Centre II,Kumi,HC II,,
Almata Medical Services Health Centre II,Kumi,HC II,,
Atutur General,Kumi,Hospital,,
Dona Clinic Health Centre II,Kumi,HC II,,
Great Save Medicare Clinic Health Centre II,Kumi,HC II,,
Kakures Health Centre II,Kumi,HC II,,
Kamaca Health Centre III,Kumi,HC II,,
Kanapa Ongino Health Centre II,Kumi,HC II,,
Kanyum Health Centre III,Kumi,HC II,,
Kanyum Ngo Health Centre II,Kumi,HC II,,
Kumi General,Kumi,Hospital,,
Kumi Health Centre IV,Kumi,HC IV,,
Kumi Orthopaedic General,Kumi,Hospital,,
Kumi Police Health Centre II,Kumi,HC II,,
Kumi Prison Health Centre II,Kumi,HC II,,
Kumi University Clinic Health Centre II,Kumi,HC II,,
Michoes Medical Centre Health Centre III,Kumi,HC II,,
Midas Touch Health Centre IV,Kumi,HC IV,,
Mukongoro Health Centre III,Kumi,HC II,,
Mukongoro Ngo Health Centre II,Kumi,HC II,,
Nyero Health Centre II,Kumi,HC II,,
Nyero Health Centre III,Kumi,HC II,,
Obuya Memorial Medical Centre Health Centre II,Kumi,HC II,,
Ogooma Health Centre II,Kumi,HC II,,
Olimai Health Centre III,Kumi,HC II,,
Omatenga Health Centre III,Kumi,HC II,,
Ongino Health Centre III,Kumi,HC II,,
Oseera Health Centre II,Kumi,HC II,,
Atar Health Centre III,Kween,HC II,,
Benet Health Centre III,Kween,HC II,,
Binyiny Health Centre III,Kween,HC II,,
Chemwom Health Centre III,Kween,HC II,,
Chepsukunya Health Centre II,Kween,HC II,,
Kabkoch Health Centre II,Kween,HC II,,
Kablyo Health Centre II,Kween,HC II,,
Kaproron Health Centre IV,Kween,HC IV,,
Kapsama Health Centre II,Kween,HC II,,
Kapteror Health Centre II,Kween,HC II,,
Kaptum Health Centre II,Kween,HC II,,
Kiriki Health Centre III,Kween,HC II,,
Kongta Health Centre II,Kween,HC II,,
Kwanyiy Health Centre III,Kween,HC II,,
Kworus Health Centre III,Kween,HC II,,
Likil Health Centre II,Kween,HC II,,
Mengya Health Centre II,Kween,HC II,,
Moyok Health Centre II,Kween,HC II,,
Mulungwa Health Centre II,Kween,HC II,,
Ngenge Health Centre III,Kween,HC II,,
Sikwo Health Centre II,Kween,HC II,,
Sundet Health Centre II,Kween,HC II,,
Teren-boy Health Centre III,Kween,HC II,,
Tuikat Health Centre II,Kween,HC II,,
Annamaria Maternity Home Health Centre II,Kyankwanzi,HC II,,
Bananywa Health Centre II,Kyankwanzi,HC II,,
Banda Health Centre II,Kyankwanzi,HC II,,
Bukwiri COU Health Centre II,Kyankwanzi,HC II,,
Butemba Health Centre III,Kyankwanzi,HC II,,
Doctor’s Clinic (Kyankwanzi) Health Centre II,Kyankwanzi,HC II,,
Emmanuel Health Centre III,Kyankwanzi,HC II,,
Equator Med Centre Health Centre II,Kyankwanzi,HC II,,
Global Woods Health Centre II,Kyankwanzi,HC II,,
Joel Clinic Health Centre II,Kyankwanzi,HC II,,
Kasirye’s Clinic Health Centre II,Kyankwanzi,HC II,,
Kikolimbo Health Centre II,Kyankwanzi,HC II,,
Kikonda Health Centre III,Kyankwanzi,HC II,,
Kikubya Health Centre II,Kyankwanzi,HC II,,
Kisaala Health Centre II,Kyankwanzi,HC II,,
Kisojjo Php Health Centre II,Kyankwanzi,HC II,,
Kiyuni (Kyankwanzi) Health Centre III,Kyankwanzi,HC II,,
Kyambadde Health Centre II,Kyankwanzi,HC II,,
Kyankwanzi Health Centre III,Kyankwanzi,HC II,,
Kyankwanzi Mirembe Clinic Health Centre II,Kyankwanzi,HC II,,
Lwansama Maternity Home Health Centre II,Kyankwanzi,HC II,,
Massodde Social Centre Health Centre II,Kyankwanzi,HC II,,
Mpuuga Medical Centre Health Centre II,Kyankwanzi,HC II,,
Mpuuga’s Clinic Health Centre II,Kyankwanzi,HC II,,
Mujunza Health Centre III,Kyankwanzi,HC II,,
Munno Mukabi Medical Centre Health Centre II,Kyankwanzi,HC II,,
Musinguzi’s Clinic Health Centre II,Kyankwanzi,HC II,,
Nakitembe Health Centre II,Kyankwanzi,HC II,,
Nali Kyankwanzi Health Centre II,Kyankwanzi,HC II,,
Nalinya Ndagire Health Centre III,Kyankwanzi,HC II,,
Ntwetwe Health Centre IV,Kyankwanzi,HC IV,,
Pentagony Clinic Health Centre II,Kyankwanzi,HC II,,
Sirimula Health Centre III,Kyankwanzi,HC II,,
St. Balikudembe Health Centre III,Kyankwanzi,HC II,,
St. Noah Vvumba Health Centre II,Kyankwanzi,HC II,,
St. Thereza Ndibata Health Centre II,Kyankwanzi,HC II,,
Wattuba Dom. Health Centre II,Kyankwanzi,HC II,,
Bugogo Health Centre II,Kyegegwa,HC II,,
Bujubuli Health Centre III,Kyegegwa,HC II,,
Casa Clinic Health Centre II,Kyegegwa,HC II,,
Community Care Clinic Health Centre II,Kyegegwa,HC II,,
Hapuuyo Health Centre III,Kyegegwa,HC II,,
Kakabara Health Centre III,Kyegegwa,HC II,,
Karwenyi Health Centre II,Kyegegwa,HC II,,
Kasule Health Centre III,Kyegegwa,HC II,,
Kazinga Health Centre III,Kyegegwa,HC II,,
Kigambo Health Centre III,Kyegegwa,HC II,,
Kishagazi Health Centre II,Kyegegwa,HC II,,
Kyegegwa Health Centre IV,Kyegegwa,HC IV,,
Migamba Health Centre II,Kyegegwa,HC II,,
Mpara Health Centre III,Kyegegwa,HC II,,
Mukondo Health Centre II,Kyegegwa,HC II,,
Ruhangire Health Centre II,Kyegegwa,HC II,,
St. Francis Medical Centre Health Centre II,Kyegegwa,HC II,,
St. Thomas Medical Centre Health Centre II,Kyegegwa,HC II,,
Unity Clinic Health Centre II,Kyegegwa,HC II,,
Wekomiire St. Thereza Health Centre III,Kyegegwa,HC II,,
1 Mwenge North (Kyarusozi) HSD ABBU Clinic Health Centre II,Kyenjojo,HC II,,
2 Mwenge North (Kyarusozi) HSD Bufunjo Health Centre III,Kyenjojo,HC II,,
3 Mwenge North (Kyarusozi) HSD Bufunjo Medical Centre Health Centre II,Kyenjojo,HC II,,
4 Mwenge North (Kyarusozi) HSD Butiiti Health Centre III,Kyenjojo,HC II,,
5 Mwenge North (Kyarusozi) HSD Butunduzi Health Centre III,Kyenjojo,HC II,,
6 Mwenge North (Kyarusozi) HSD Doctors Clinic (Kyenjojo) Health Centre II,Kyenjojo,HC II,,
7Mwenge North (Kyarusozi) HSD Emmanuel Health Care,Kyenjojo,Clinic,,
9 Mwenge North (Kyarusozi) HSD Kagorogoro Dispensary Health Centre II,Kyenjojo,HC II,,
10 Mwenge North (Kyarusozi) HSD Kasaba Medical Centre,Kyenjojo,Clinic,,
11 Mwenge North (Kyarusozi) HSD Kasunga Estate Clinic Health Centre II,Kyenjojo,HC II,,
12 Mwenge North (Kyarusozi) HSD Kataraza Health Centre III,Kyenjojo,HC II,,
13 Mwenge North (Kyarusozi) HSD Katooke Clinic Centre Health Centre II,Kyenjojo,HC II,,
14 Mwenge North (Kyarusozi) HSD Katooke Health Centre III,Kyenjojo,HC II,,
15 Mwenge North (Kyarusozi) HSD Katooke Health Clinic Health Centre II,Kyenjojo,HC II,,
16 Mwenge North (Kyarusozi) HSD Kigaraale Health Centre III,Kyenjojo,HC II,,
17 Mwenge North (Kyarusozi) HSD Kigoyera Health Centre II,Kyenjojo,HC II,,
18 Mwenge North (Kyarusozi) HSD Kigumba Tea Factory Health Centre II,Kyenjojo,HC II,,
19 Mwenge North (Kyarusozi) HSD Kisojo (Kyenjojo) Health Centre III,Kyenjojo,HC II,,
20 Mwenge North (Kyarusozi) HSD Kitembe Health Centre II,Kyenjojo,HC II,,
21 Mwenge North (Kyarusozi) HSD Kyakaramata Health Centre II,Kyenjojo,HC II,,
22 Mwenge North (Kyarusozi) HSD Kyakatara Health Centre III,Kyenjojo,HC II,,
23 Mwenge North (Kyarusozi) HSD Kyarusozi Health Centre IV,Kyenjojo,HC IV,,
24 Mwenge North (Kyarusozi) HSD Kyembogo Holy Cross Health Centre III,Kyenjojo,HC II,,
25 Mwenge North (Kyarusozi) HSD Kyenjojo General,Kyenjojo,Hospital,,
26 Mwenge North (Kyarusozi) HSD Kyenjojo Police Clinic Health Centre II,Kyenjojo,HC II,,
27 Mwenge North (Kyarusozi) HSD Life Point,Kyenjojo,Clinic,,
28 Mwenge North (Kyarusozi) HSD Mabale Tea Factory Health Centre II,Kyenjojo,HC II,,
29 Mwenge North (Kyarusozi) HSD Mabira Polycare,Kyenjojo,Clinic,,
30 Mwenge North (Kyarusozi) HSD MacFarland Memorial MC Health Centre II,Kyenjojo,HC II,,
31 Mwenge North (Kyarusozi) HSD Mbale Health Centre II,Kyenjojo,HC II,,
33 Mwenge North (Kyarusozi) HSD Midas Torch Health Centre IV,Kyenjojo,HC IV,,
34 Mwenge North (Kyarusozi) HSD Mukama Asiimwe Clinic Health Centre II,Kyenjojo,HC II,,
36 Mwenge North (Kyarusozi) HSD Mwenge Clinic Health Centre III,Kyenjojo,HC II,,
37 Mwenge North (Kyarusozi) HSD Myeri Health Centre II,Kyenjojo,HC II,,
38 Mwenge North (Kyarusozi) HSD Nyakarongo Health Centre II,Kyenjojo,HC II,,
39 Mwenge North (Kyarusozi) HSD Nyamabuga Health Centre III,Kyenjojo,HC II,,
40 Mwenge North (Kyarusozi) HSD Nyankwanzi Health Centre III,Kyenjojo,HC II,,
41Mwenge North (Kyarusozi) HSD Royal Doctors & Research,Kyenjojo,Clinic,,
42 Mwenge North (Kyarusozi) HSD Rwaitengya Health Centre II,Kyenjojo,HC II,,
43 Mwenge North (Kyarusozi) HSD Rwibale-Avemaria Health Centre II,Kyenjojo,HC II,,
44 Mwenge North (Kyarusozi) HSD St Adolf Health Centre II,Kyenjojo,HC II,,
45 Mwenge North (Kyarusozi) HSD St. Edwards (Kyenjojo) Health Centre II,Kyenjojo,HC II,,
46 Mwenge North (Kyarusozi) HSD St. Francis,Kyenjojo,Clinic,,
47 Mwenge North (Kyarusozi) HSD St. Martins-Mabiira Health Centre III,Kyenjojo,HC II,,
48 Mwenge North (Kyarusozi) HSD St. Mary’s Katoosa Health Centre II,Kyenjojo,HC II,,
49 Mwenge North (Kyarusozi) HSD St. Peters Medical Centre,Kyenjojo,Clinic,,
50 Mwenge North (Kyarusozi) HSD The Potters Clinic Health Centre II,Kyenjojo,HC II,,
51 Mwenge North (Kyarusozi) HSD Villa Maria (Kaihura) Health Centre II,Kyenjojo,HC II,,
Agoro Health Centre III,Lamwo,HC II,,
Anaka Health Centre II,Lamwo,HC II,,
Apyeta Health Centre II,Lamwo,HC II,,
Dibolyec Health Centre II,Lamwo,HC II,,
Good Hope Medical Centre (Lamwo),Lamwo,Clinic,,
Kapeta Health Centre II,Lamwo,HC II,,
Katum Health Centre II,Lamwo,HC II,,
Lokung Health Centre III,Lamwo,HC II,,
Madi Kiloch Health Centre II,Lamwo,HC II,,
Madi-Opei Health Centre IV,Lamwo,HC IV,,
Ngomoromo Health Centre II,Lamwo,HC II,,
Ogako Health Centre II,Lamwo,HC II,,
Okol Health Centre II,Lamwo,HC II,,
Padibe Health Centre IV,Lamwo,HC IV,,
Padibe West Health Centre III,Lamwo,HC II,,
Palabek Ogili Health Centre III,Lamwo,HC II,,
